suicidal,isPartial,date
49,False,2019-08-11
49,False,2019-08-18
33,False,2019-08-25
52,False,2019-09-01
41,False,2019-09-08
48,False,2019-09-15
56,False,2019-09-22
60,False,2019-09-29
36,False,2019-10-06
47,False,2019-10-13
66,False,2019-10-20
27,False,2019-10-27
41,False,2019-11-03
48,False,2019-11-10
40,False,2019-11-17
61,False,2019-11-24
54,False,2019-12-01
36,False,2019-12-08
47,False,2019-12-15
47,False,2019-12-22
45,False,2019-12-29
59,False,2020-01-05
65,False,2020-01-12
55,False,2020-01-19
88,False,2020-01-26
56,False,2020-02-02
61,False,2020-02-09
49,False,2020-02-16
65,False,2020-02-23
48,False,2020-03-01
54,False,2020-03-08
43,False,2020-03-15
46,False,2020-03-22
56,False,2020-03-29
39,False,2020-04-05
54,False,2020-04-12
58,False,2020-04-19
42,False,2020-04-26
43,False,2020-05-03
29,False,2020-05-10
42,False,2020-05-17
38,False,2020-05-24
51,False,2020-05-31
52,False,2020-06-07
40,False,2020-06-14
26,False,2020-06-21
44,False,2020-06-28
47,False,2020-07-05
43,False,2020-07-12
34,False,2020-07-19
42,False,2020-07-26
36,False,2020-08-02
27,False,2020-08-09
31,False,2020-08-16
27,False,2020-08-23
33,False,2020-08-30
41,False,2020-09-06
36,True,2020-09-13
