suicidal ideation,isPartial,date
73,False,2018-06-24
63,False,2018-07-01
36,False,2018-07-08
37,False,2018-07-15
0,False,2018-07-22
72,False,2018-07-29
0,False,2018-08-05
0,False,2018-08-12
0,False,2018-08-19
52,False,2018-08-26
0,False,2018-09-02
0,False,2018-09-09
34,False,2018-09-16
0,False,2018-09-23
34,False,2018-09-30
36,False,2018-10-07
71,False,2018-10-14
53,False,2018-10-21
35,False,2018-10-28
49,False,2018-11-04
0,False,2018-11-11
35,False,2018-11-18
34,False,2018-11-25
34,False,2018-12-02
35,False,2018-12-09
35,False,2018-12-16
38,False,2018-12-23
0,False,2018-12-30
34,False,2019-01-06
0,False,2019-01-13
33,False,2019-01-20
32,False,2019-01-27
0,False,2019-02-03
32,False,2019-02-10
0,False,2019-02-17
32,False,2019-02-24
33,False,2019-03-03
100,False,2019-03-10
33,False,2019-03-17
0,False,2019-03-24
33,False,2019-03-31
34,False,2019-04-07
34,False,2019-04-14
0,False,2019-04-21
0,False,2019-04-28
0,False,2019-05-05
34,False,2019-05-12
36,False,2019-05-19
0,False,2019-05-26
35,False,2019-06-02
35,False,2019-06-09
0,False,2019-06-16
35,False,2019-06-23
0,False,2019-06-30
0,False,2019-07-07
35,False,2019-07-14
0,False,2019-07-21
71,False,2019-07-28
35,False,2019-08-04
50,False,2019-08-11
66,False,2019-08-18
64,False,2019-08-25
32,False,2019-09-01
0,False,2019-09-08
52,False,2019-09-15
32,False,2019-09-22
48,False,2019-09-29
65,False,2019-10-06
96,False,2019-10-13
31,False,2019-10-20
32,False,2019-10-27
0,False,2019-11-03
31,False,2019-11-10
30,False,2019-11-17
62,False,2019-11-24
30,False,2019-12-01
31,False,2019-12-08
32,False,2019-12-15
0,False,2019-12-22
64,False,2019-12-29
60,False,2020-01-05
0,False,2020-01-12
29,False,2020-01-19
29,False,2020-01-26
29,False,2020-02-02
29,False,2020-02-09
86,False,2020-02-16
28,False,2020-02-23
55,False,2020-03-01
42,False,2020-03-08
27,False,2020-03-15
27,False,2020-03-22
26,False,2020-03-29
0,False,2020-04-05
26,False,2020-04-12
26,False,2020-04-19
0,False,2020-04-26
0,False,2020-05-03
26,False,2020-05-10
0,False,2020-05-17
27,False,2020-05-24
26,False,2020-05-31
27,False,2020-06-07
27,False,2020-06-14
27,False,2020-06-21
28,False,2020-06-28
29,False,2020-07-05
0,False,2020-07-12
29,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
54,False,2020-08-09
27,False,2020-08-16
26,False,2020-08-23
27,False,2020-08-30
28,False,2020-09-06
0,True,2020-09-13
