painless suicide,isPartial,date
26,False,2018-09-09
26,False,2018-09-16
30,False,2018-09-23
19,False,2018-09-30
24,False,2018-10-07
26,False,2018-10-14
24,False,2018-10-21
21,False,2018-10-28
28,False,2018-11-04
23,False,2018-11-11
33,False,2018-11-18
22,False,2018-11-25
31,False,2018-12-02
17,False,2018-12-09
30,False,2018-12-16
21,False,2018-12-23
22,False,2018-12-30
32,False,2019-01-06
26,False,2019-01-13
33,False,2019-01-20
35,False,2019-01-27
24,False,2019-02-03
19,False,2019-02-10
31,False,2019-02-17
29,False,2019-02-24
31,False,2019-03-03
26,False,2019-03-10
29,False,2019-03-17
34,False,2019-03-24
25,False,2019-03-31
24,False,2019-04-07
21,False,2019-04-14
21,False,2019-04-21
27,False,2019-04-28
24,False,2019-05-05
26,False,2019-05-12
19,False,2019-05-19
23,False,2019-05-26
25,False,2019-06-02
27,False,2019-06-09
21,False,2019-06-16
26,False,2019-06-23
27,False,2019-06-30
22,False,2019-07-07
25,False,2019-07-14
19,False,2019-07-21
21,False,2019-07-28
28,False,2019-08-04
20,False,2019-08-11
31,False,2019-08-18
19,False,2019-08-25
31,False,2019-09-01
32,False,2019-09-08
21,False,2019-09-15
24,False,2019-09-22
25,False,2019-09-29
23,False,2019-10-06
23,False,2019-10-13
21,False,2019-10-20
22,False,2019-10-27
24,False,2019-11-03
29,False,2019-11-10
19,False,2019-11-17
32,False,2019-11-24
17,False,2019-12-01
20,False,2019-12-08
24,False,2019-12-15
15,False,2019-12-22
20,False,2019-12-29
28,False,2020-01-05
20,False,2020-01-12
15,False,2020-01-19
17,False,2020-01-26
28,False,2020-02-02
13,False,2020-02-09
21,False,2020-02-16
21,False,2020-02-23
20,False,2020-03-01
22,False,2020-03-08
19,False,2020-03-15
19,False,2020-03-22
15,False,2020-03-29
16,False,2020-04-05
22,False,2020-04-12
20,False,2020-04-19
20,False,2020-04-26
19,False,2020-05-03
23,False,2020-05-10
23,False,2020-05-17
23,False,2020-05-24
23,False,2020-05-31
16,False,2020-06-07
23,False,2020-06-14
19,False,2020-06-21
42,False,2020-06-28
31,False,2020-07-05
24,False,2020-07-12
20,False,2020-07-19
17,False,2020-07-26
13,False,2020-08-02
18,False,2020-08-09
22,False,2020-08-16
19,False,2020-08-23
14,False,2020-08-30
20,False,2020-09-06
19,True,2020-09-13
