suicide attempt,isPartial,date
26,False,2018-04-22
27,False,2018-04-29
27,False,2018-05-06
0,False,2018-05-13
57,False,2018-05-20
0,False,2018-05-27
0,False,2018-06-03
42,False,2018-06-10
0,False,2018-06-17
29,False,2018-06-24
0,False,2018-07-01
0,False,2018-07-08
0,False,2018-07-15
29,False,2018-07-22
28,False,2018-07-29
28,False,2018-08-05
0,False,2018-08-12
28,False,2018-08-19
27,False,2018-08-26
0,False,2018-09-02
27,False,2018-09-09
0,False,2018-09-16
27,False,2018-09-23
81,False,2018-09-30
29,False,2018-10-07
28,False,2018-10-14
0,False,2018-10-21
0,False,2018-10-28
26,False,2018-11-04
0,False,2018-11-11
28,False,2018-11-18
0,False,2018-11-25
27,False,2018-12-02
0,False,2018-12-09
55,False,2018-12-16
30,False,2018-12-23
29,False,2018-12-30
0,False,2019-01-06
52,False,2019-01-13
77,False,2019-01-20
0,False,2019-01-27
50,False,2019-02-03
0,False,2019-02-10
25,False,2019-02-17
25,False,2019-02-24
52,False,2019-03-03
26,False,2019-03-10
26,False,2019-03-17
38,False,2019-03-24
26,False,2019-03-31
0,False,2019-04-07
27,False,2019-04-14
27,False,2019-04-21
26,False,2019-04-28
27,False,2019-05-05
0,False,2019-05-12
0,False,2019-05-19
0,False,2019-05-26
0,False,2019-06-02
27,False,2019-06-09
42,False,2019-06-16
28,False,2019-06-23
0,False,2019-06-30
28,False,2019-07-07
0,False,2019-07-14
28,False,2019-07-21
0,False,2019-07-28
27,False,2019-08-04
52,False,2019-08-11
39,False,2019-08-18
25,False,2019-08-25
0,False,2019-09-01
49,False,2019-09-08
0,False,2019-09-15
25,False,2019-09-22
0,False,2019-09-29
0,False,2019-10-06
0,False,2019-10-13
0,False,2019-10-20
25,False,2019-10-27
48,False,2019-11-03
24,False,2019-11-10
24,False,2019-11-17
24,False,2019-11-24
24,False,2019-12-01
0,False,2019-12-08
0,False,2019-12-15
53,False,2019-12-22
0,False,2019-12-29
0,False,2020-01-05
22,False,2020-01-12
23,False,2020-01-19
0,False,2020-01-26
0,False,2020-02-02
23,False,2020-02-09
22,False,2020-02-16
22,False,2020-02-23
44,False,2020-03-01
44,False,2020-03-08
0,False,2020-03-15
21,False,2020-03-22
0,False,2020-03-29
20,False,2020-04-05
0,False,2020-04-12
40,False,2020-04-19
40,False,2020-04-26
20,False,2020-05-03
0,False,2020-05-10
21,False,2020-05-17
0,False,2020-05-24
21,False,2020-05-31
21,False,2020-06-07
21,False,2020-06-14
43,False,2020-06-21
0,False,2020-06-28
0,False,2020-07-05
57,False,2020-07-12
23,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
0,False,2020-08-09
42,False,2020-08-16
21,False,2020-08-23
0,False,2020-08-30
33,False,2020-09-06
0,True,2020-09-13
